apno,aptype,issued,value
REP19-9476629,REPAIR,2019-05-10T00:00:00.000,6000
REP19-9491608,REPAIR,2019-09-18T00:00:00.000,3165
GC18-9464824,GC,2019-05-10T00:00:00.000,9300
REP19-9476581,REPAIR,2019-05-09T00:00:00.000,5650
REP19-9476536,REPAIR,2019-05-09T00:00:00.000,2250
REP19-9476514,REPAIR,2019-05-08T00:00:00.000,12110
REP19-9476513,REPAIR,2019-05-08T00:00:00.000,5000
REP19-9476511,REPAIR,2019-05-08T00:00:00.000,12000
REP19-9476452,REPAIR,2019-05-07T00:00:00.000,19000
REP19-9476445,REPAIR,2019-05-07T00:00:00.000,5700
REP19-9476433,REPAIR,2019-05-07T00:00:00.000,11786
REP19-9476417,REPAIR,2019-05-07T00:00:00.000,16000
REP19-9476395,REPAIR,2019-05-07T00:00:00.000,14000
REP19-9476367,REPAIR,2019-05-06T00:00:00.000,12000
REP19-9476326,REPAIR,2019-05-06T00:00:00.000,8000
REP19-9476276,REPAIR,2019-05-03T00:00:00.000,10800
REP19-9476271,REPAIR,2019-05-03T00:00:00.000,33100
REP19-9475564,REPAIR,2019-05-03T00:00:00.000,4000
REP19-9476209,REPAIR,2019-05-02T00:00:00.000,14000
GC19-9475171,GC,2019-05-02T00:00:00.000,111450
REP19-9476178,REPAIR,2019-05-01T00:00:00.000,13000
REP19-9476162,REPAIR,2019-05-01T00:00:00.000,11700
REP19-9476159,REPAIR,2019-05-01T00:00:00.000,2000
REP19-9476128,REPAIR,2019-04-30T00:00:00.000,5000
REP19-9476122,REPAIR,2019-04-30T00:00:00.000,14000
REP19-9475979,REPAIR,2019-04-26T00:00:00.000,13500
REP19-9475964,REPAIR,2019-04-26T00:00:00.000,2000
REP19-9475441,REPAIR,2019-04-26T00:00:00.000,21535
REP19-9475439,REPAIR,2019-04-26T00:00:00.000,18328
REP19-9475926,REPAIR,2019-04-25T00:00:00.000,1000
REP19-9475855,REPAIR,2019-04-24T00:00:00.000,5600
REP19-9475771,REPAIR,2019-04-23T00:00:00.000,5000
REP19-9475741,REPAIR,2019-04-22T00:00:00.000,14000
REP19-9475695,REPAIR,2019-04-22T00:00:00.000,12000
REP19-9475686,REPAIR,2019-04-22T00:00:00.000,7500
REP19-9475684,REPAIR,2019-04-22T00:00:00.000,9400
REP19-9475675,REPAIR,2019-04-22T00:00:00.000,8850
REP19-9475615,REPAIR,2019-04-18T00:00:00.000,5700
REP19-9475599,REPAIR,2019-04-18T00:00:00.000,1964.5
REP19-9475596,REPAIR,2019-04-17T00:00:00.000,15000
REP19-9475580,REPAIR,2019-04-17T00:00:00.000,19000
REP19-9475572,REPAIR,2019-04-17T00:00:00.000,12870
REP19-9475571,REPAIR,2019-04-17T00:00:00.000,4900
REP19-9475570,REPAIR,2019-04-17T00:00:00.000,4900
REP19-9475528,REPAIR,2019-04-17T00:00:00.000,1400
REP19-9475372,REPAIR,2019-04-17T00:00:00.000,11103
REP19-9475371,REPAIR,2019-04-17T00:00:00.000,2250
REP19-9475510,REPAIR,2019-04-16T00:00:00.000,40000
REP19-9475369,REPAIR,2019-04-16T00:00:00.000,3395
GC19-9472301,GC,2019-04-15T00:00:00.000,7000
REP19-9475366,REPAIR,2019-04-12T00:00:00.000,6000
REP19-9475389,REPAIR,2019-04-12T00:00:00.000,7000
REP19-9475396,REPAIR,2019-04-12T00:00:00.000,7000
REP19-9475370,REPAIR,2019-04-12T00:00:00.000,7825
REP19-9475299,REPAIR,2019-04-11T00:00:00.000,19800
GC19-9472466,GC,2019-04-11T00:00:00.000,23381
REP19-9475256,REPAIR,2019-04-10T00:00:00.000,4000
REP19-9475259,REPAIR,2019-04-10T00:00:00.000,11600
REP19-9475266,REPAIR,2019-04-10T00:00:00.000,8000
REP19-9475254,REPAIR,2019-04-09T00:00:00.000,7500
REP19-9475232,REPAIR,2019-04-09T00:00:00.000,3985
REP19-9475237,REPAIR,2019-04-09T00:00:00.000,3000
REP19-9475148,REPAIR,2019-04-08T00:00:00.000,7000
REP19-9473580,REPAIR,2019-04-04T00:00:00.000,6800
REP19-9473965,REPAIR,2019-04-03T00:00:00.000,8000
REP19-9473975,REPAIR,2019-04-03T00:00:00.000,19100
REP19-9473806,REPAIR,2019-04-01T00:00:00.000,2975
REP19-9473793,REPAIR,2019-04-02T00:00:00.000,3000
REP19-9473903,REPAIR,2019-04-02T00:00:00.000,8880
REP19-9473860,REPAIR,2019-04-01T00:00:00.000,2500
REP19-9473863,REPAIR,2019-04-02T00:00:00.000,13000
GC19-9471620,GC,2019-03-28T00:00:00.000,25000
REP19-9473749,REPAIR,2019-03-28T00:00:00.000,4000
REP19-9473728,REPAIR,2019-03-28T00:00:00.000,1500
REP19-9473632,REPAIR,2019-03-27T00:00:00.000,5000
REP19-9473614,REPAIR,2019-03-26T00:00:00.000,15165.76
REP19-9473566,REPAIR,2019-03-26T00:00:00.000,4250
REP19-9473603,REPAIR,2019-03-26T00:00:00.000,12990
REP19-9473582,REPAIR,2019-03-26T00:00:00.000,9200
REP19-9473524,REPAIR,2019-03-25T00:00:00.000,16146
REP19-9472475,REPAIR,2019-03-22T00:00:00.000,15000
REP19-9472479,REPAIR,2019-03-22T00:00:00.000,6100
REP19-9472491,REPAIR,2019-03-22T00:00:00.000,11104
REP19-9472293,REPAIR,2019-03-19T00:00:00.000,12600
REP19-9472260,REPAIR,2019-03-19T00:00:00.000,8950
